Datum,Uhrzeit,SLP-Bandlastkunden HB [kWh]
,,
2023/1/1,0:15:00,27.203 
2023/1/1,0:30:00,25.214 
2023/1/1,0:45:00,23.317 
2023/1/1,1:00:00,21.483 
2023/1/1,1:15:00,19.711 
2023/1/1,1:30:00,18.094 
2023/1/1,1:45:00,16.664 
2023/1/1,2:00:00,15.514 
2023/1/1,2:15:00,14.705 
2023/1/1,2:30:00,14.146 
2023/1/1,2:45:00,13.742 
2023/1/1,3:00:00,13.462 
2023/1/1,3:15:00,13.182 
2023/1/1,3:30:00,12.902 
2023/1/1,3:45:00,12.653 
2023/1/1,4:00:00,12.436 
2023/1/1,4:15:00,12.218 
2023/1/1,4:30:00,12.063 
2023/1/1,4:45:00,11.970 
2023/1/1,5:00:00,11.907 
2023/1/1,5:15:00,11.907 
2023/1/1,5:30:00,11.938 
2023/1/1,5:45:00,12.032 
2023/1/1,6:00:00,12.156 
2023/1/1,6:15:00,12.343 
2023/1/1,6:30:00,12.560 
2023/1/1,6:45:00,12.840 
2023/1/1,7:00:00,13.182 
2023/1/1,7:15:00,13.679 
2023/1/1,7:30:00,14.488 
2023/1/1,7:45:00,15.887 
2023/1/1,8:00:00,18.125 
2023/1/1,8:15:00,21.328 
2023/1/1,8:30:00,25.276 
2023/1/1,8:45:00,29.597 
2023/1/1,9:00:00,33.888 
2023/1/1,9:15:00,37.898 
2023/1/1,9:30:00,41.567 
2023/1/1,9:45:00,44.893 
2023/1/1,10:00:00,47.878 
2023/1/1,10:15:00,50.552 
2023/1/1,10:30:00,53.008 
2023/1/1,10:45:00,55.340 
2023/1/1,11:00:00,57.702 
2023/1/1,11:15:00,60.096 
2023/1/1,11:30:00,62.366 
2023/1/1,11:45:00,64.231 
2023/1/1,12:00:00,65.475 
2023/1/1,12:15:00,65.848 
2023/1/1,12:30:00,65.350 
2023/1/1,12:45:00,64.014 
2023/1/1,13:00:00,61.837 
2023/1/1,13:15:00,58.946 
2023/1/1,13:30:00,55.557 
2023/1/1,13:45:00,52.013 
2023/1/1,14:00:00,48.655 
