Datum,Uhrzeit,SLP-HB [kWh],,
2024/1/1,00:15,27.11,,
2024/1/1,00:30,25.127,,
2024/1/1,00:45,23.237,,
2024/1/1,01:00,21.409,,
2024/1/1,01:15,19.643,,
2024/1/1,01:30,18.031,,
2024/1/1,01:45,16.606,,
2024/1/1,02:00,15.46,,
2024/1/1,02:15,14.654,,
2024/1/1,02:30,14.097,,
2024/1/1,02:45,13.694,,
2024/1/1,03:00,13.415,,
2024/1/1,03:15,13.136,,
2024/1/1,03:30,12.857,,
2024/1/1,03:45,12.61,,
2024/1/1,04:00,12.393,,
2024/1/1,04:15,12.176,,
2024/1/1,04:30,12.021,,
2024/1/1,04:45,11.928,,
2024/1/1,05:00,11.866,,
2024/1/1,05:15,11.866,,
2024/1/1,05:30,11.897,,
2024/1/1,05:45,11.99,,
2024/1/1,06:00,12.114,,
2024/1/1,06:15,12.3,,
2024/1/1,06:30,12.517,,
2024/1/1,06:45,12.795,,
2024/1/1,07:00,13.136,,
2024/1/1,07:15,13.632,,
2024/1/1,07:30,14.437,,
2024/1/1,07:45,15.832,,
2024/1/1,08:00,18.062,,
2024/1/1,08:15,21.253,,
2024/1/1,08:30,25.188,,
2024/1/1,08:45,29.495,,
2024/1/1,09:00,33.77,,
2024/1/1,09:15,37.767,,
2024/1/1,09:30,41.422,,
2024/1/1,09:45,44.737,,
2024/1/1,10:00,47.712,,
2024/1/1,10:15,50.376,,
2024/1/1,10:30,52.824,,
2024/1/1,10:45,55.147,,
2024/1/1,11:00,57.502,,
2024/1/1,11:15,59.888,,
2024/1/1,11:30,62.149,,
2024/1/1,11:45,64.008,,
2024/1/1,12:00,65.247,,
2024/1/1,12:15,65.619,,
2024/1/1,12:30,65.123,,
2024/1/1,12:45,63.791,,
2024/1/1,13:00,61.622,,
2024/1/1,13:15,58.741,,
2024/1/1,13:30,55.364,,
2024/1/1,13:45,51.832,,
2024/1/1,14:00,48.486,,
2024/1/1,14:15,45.543,,
2024/1/1,14:30,43.034,,
2024/1/1,14:45,40.927,,
2024/1/1,15:00,39.192,,
2024/1/1,15:15,37.798,,
2024/1/1,15:30,36.589,,
2024/1/1,15:45,35.567,,
2024/1/1,16:00,34.545,,
2024/1/1,16:15,33.553,,
2024/1/1,16:30,32.81,,
2024/1/1,16:45,32.593,,
2024/1/1,17:00,33.274,,
2024/1/1,17:15,34.978,,
2024/1/1,17:30,37.457,,
2024/1/1,17:45,40.276,,
2024/1/1,18:00,43.064,,
2024/1/1,18:15,45.481,,
2024/1/1,18:30,47.557,,
2024/1/1,18:45,49.478,,
2024/1/1,19:00,51.306,,
2024/1/1,19:15,53.134,,
2024/1/1,19:30,54.652,,
2024/1/1,19:45,55.488,,
2024/1/1,20:00,55.178,,
2024/1/1,20:15,53.567,,
2024/1/1,20:30,51.027,,
2024/1/1,20:45,48.207,,
2024/1/1,21:00,45.636,,
2024/1/1,21:15,43.808,,
2024/1/1,21:30,42.507,,
2024/1/1,21:45,41.422,,
2024/1/1,22:00,40.214,,
2024/1/1,22:15,38.665,,
2024/1/1,22:30,36.744,,
2024/1/1,22:45,34.576,,
2024/1/1,23:00,32.221,,
2024/1/1,23:15,29.804,,
2024/1/1,23:30,27.388,,
2024/1/1,23:45,25.002,,
2024/1/1,00:00,22.679,,
2024/1/2,00:15,20.975,,
2024/1/2,00:30,18.866,,
2024/1/2,00:45,17.035,,
2024/1/2,01:00,15.483,,
2024/1/2,01:15,14.335,,
2024/1/2,01:30,13.529,,
2024/1/2,01:45,13.001,,
2024/1/2,02:00,12.66,,
2024/1/2,02:15,12.443,,
2024/1/2,02:30,12.287,,
2024/1/2,02:45,12.225,,
2024/1/2,03:00,12.132,,
2024/1/2,03:15,12.039,,
2024/1/2,03:30,11.977,,
2024/1/2,03:45,11.884,,
2024/1/2,04:00,11.884,,
2024/1/2,04:15,11.915,,
2024/1/2,04:30,12.039,,
2024/1/2,04:45,12.194,,
2024/1/2,05:00,12.412,,
2024/1/2,05:15,12.691,,
2024/1/2,05:30,13.373,,
2024/1/2,05:45,14.801,,
2024/1/2,06:00,17.314,,
2024/1/2,06:15,21.1,,
2024/1/2,06:30,25.692,,
2024/1/2,06:45,30.408,,
2024/1/2,07:00,34.597,,
2024/1/2,07:15,37.731,,
2024/1/2,07:30,39.872,,
2024/1/2,07:45,41.175,,
2024/1/2,08:00,41.827,,
2024/1/2,08:15,42.013,,
2024/1/2,08:30,41.827,,
2024/1/2,08:45,41.299,,
2024/1/2,09:00,40.555,,
2024/1/2,09:15,39.624,,
2024/1/2,09:30,38.662,,
2024/1/2,09:45,37.7,,
2024/1/2,10:00,36.924,,
2024/1/2,10:15,36.397,,
2024/1/2,10:30,36.055,,
2024/1/2,10:45,35.9,,
2024/1/2,11:00,35.9,,
2024/1/2,11:15,36.024,,
2024/1/2,11:30,36.304,,
2024/1/2,11:45,36.831,,
2024/1/2,12:00,37.7,,
2024/1/2,12:15,38.91,,
2024/1/2,12:30,40.213,,
2024/1/2,12:45,41.268,,
2024/1/2,13:00,41.827,,
2024/1/2,13:15,41.641,,
2024/1/2,13:30,40.865,,
2024/1/2,13:45,39.717,,
