Datum,Uhrzeit,SLP [kWh]
2022/1/1,0:00,22.775
2022/1/1,0:15,27.224
2022/1/1,0:30,25.233
2022/1/1,0:45,23.335
2022/1/1,1:00,21.5
2022/1/1,1:15,19.726
2022/1/1,1:30,18.108
2022/1/1,1:45,16.677
2022/1/1,2:00,15.526
2022/1/1,2:15,14.717
2022/1/1,2:30,14.157
2022/1/1,2:45,13.752
2022/1/1,3:00,13.472
2022/1/1,3:15,13.192
2022/1/1,3:30,12.912
2022/1/1,3:45,12.663
2022/1/1,4:00,12.445
2022/1/1,4:15,12.228
2022/1/1,4:30,12.072
2022/1/1,4:45,11.979
2022/1/1,5:00,11.917
2022/1/1,5:15,11.917
2022/1/1,5:30,11.948
2022/1/1,5:45,12.041
2022/1/1,6:00,12.165
2022/1/1,6:15,12.352
2022/1/1,6:30,12.57
2022/1/1,6:45,12.85
2022/1/1,7:00,13.192
2022/1/1,7:15,13.69
2022/1/1,7:30,14.499
2022/1/1,7:45,15.899
2022/1/1,8:00,18.139
2022/1/1,8:15,21.344
2022/1/1,8:30,25.295
2022/1/1,8:45,29.62
2022/1/1,9:00,33.914
2022/1/1,9:15,37.927
2022/1/1,9:30,41.599
2022/1/1,9:45,44.928
2022/1/1,10:00,47.915
2022/1/1,10:15,50.591
2022/1/1,10:30,53.049
2022/1/1,10:45,55.382
2022/1/1,11:00,57.747
2022/1/1,11:15,60.143
2022/1/1,11:30,62.414
2022/1/1,11:45,64.281
2022/1/1,12:00,65.525
2022/1/1,12:15,65.899
2022/1/1,12:30,65.401
2022/1/1,12:45,64.063
2022/1/1,13:00,61.885
2022/1/1,13:15,58.991
2022/1/1,13:30,55.6
2022/1/1,13:45,52.053
2022/1/1,14:00,48.693
2022/1/1,14:15,45.737
2022/1/1,14:30,43.217
2022/1/1,14:45,41.101
2022/1/1,15:00,39.359
2022/1/1,15:15,37.959
2022/1/1,15:30,36.745
2022/1/1,15:45,35.718
2022/1/1,16:00,34.692
2022/1/1,16:15,33.696
2022/1/1,16:30,32.949
2022/1/1,16:45,32.732
2022/1/1,17:00,33.416
2022/1/1,17:15,35.127
2022/1/1,17:30,37.616
2022/1/1,17:45,40.448
2022/1/1,18:00,43.248
2022/1/1,18:15,45.675
2022/1/1,18:30,47.759
2022/1/1,18:45,49.688
2022/1/1,19:00,51.524
2022/1/1,19:15,53.36
2022/1/1,19:30,54.884
2022/1/1,19:45,55.724
2022/1/1,20:00,55.413
2022/1/1,20:15,53.795
2022/1/1,20:30,51.244
2022/1/1,20:45,48.413
2022/1/1,21:00,45.83
2022/1/1,21:15,43.995
2022/1/1,21:30,42.688
2022/1/1,21:45,41.599
2022/1/1,22:00,40.385
2022/1/1,22:15,38.83
2022/1/1,22:30,36.901
2022/1/1,22:45,34.723
2022/1/1,23:00,32.358
2022/1/1,23:15,29.931
2022/1/1,23:30,27.504
2022/1/1,23:45,25.109
2022/1/2,0:00,22.81
2022/1/2,0:15,27.266
2022/1/2,0:30,25.272
2022/1/2,0:45,23.371
2022/1/2,1:00,21.532
2022/1/2,1:15,19.756
2022/1/2,1:30,18.136
2022/1/2,1:45,16.702
2022/1/2,2:00,15.549
2022/1/2,2:15,14.739
2022/1/2,2:30,14.178
2022/1/2,2:45,13.773
2022/1/2,3:00,13.493
2022/1/2,3:15,13.212
2022/1/2,3:30,12.932
2022/1/2,3:45,12.683
2022/1/2,4:00,12.464
2022/1/2,4:15,12.246
2022/1/2,4:30,12.09
2022/1/2,4:45,11.997
2022/1/2,5:00,11.935
2022/1/2,5:15,11.935
2022/1/2,5:30,11.966
2022/1/2,5:45,12.059
2022/1/2,6:00,12.184
2022/1/2,6:15,12.371
2022/1/2,6:30,12.589
2022/1/2,6:45,12.869
2022/1/2,7:00,13.212
2022/1/2,7:15,13.711
2022/1/2,7:30,14.521
2022/1/2,7:45,15.923
2022/1/2,8:00,18.167
2022/1/2,8:15,21.376
2022/1/2,8:30,25.334
2022/1/2,8:45,29.665
2022/1/2,9:00,33.965
2022/1/2,9:15,37.985
2022/1/2,9:30,41.662
2022/1/2,9:45,44.996
2022/1/2,10:00,47.988
2022/1/2,10:15,50.668
2022/1/2,10:30,53.129
2022/1/2,10:45,55.467
2022/1/2,11:00,57.835
2022/1/2,11:15,60.234
2022/1/2,11:30,62.509
2022/1/2,11:45,64.379
2022/1/2,12:00,65.625
2022/1/2,12:15,65.999
2022/1/2,12:30,65.5
2022/1/2,12:45,64.16
2022/1/2,13:00,61.979
2022/1/2,13:15,59.081
2022/1/2,13:30,55.685
2022/1/2,13:45,52.132
2022/1/2,14:00,48.767
2022/1/2,14:15,45.807
2022/1/2,14:30,43.283
2022/1/2,14:45,41.164
2022/1/2,15:00,39.419
2022/1/2,15:15,38.016
2022/1/2,15:30,36.801
2022/1/2,15:45,35.773
2022/1/2,16:00,34.744
2022/1/2,16:15,33.747
2022/1/2,16:30,32.999
2022/1/2,16:45,32.781
2022/1/2,17:00,33.467
2022/1/2,17:15,35.181
2022/1/2,17:30,37.674
2022/1/2,17:45,40.509
2022/1/2,18:00,43.314
2022/1/2,18:15,45.744
2022/1/2,18:30,47.832
2022/1/2,18:45,49.764
2022/1/2,19:00,51.603
2022/1/2,19:15,53.441
2022/1/2,19:30,54.968
2022/1/2,19:45,55.809
2022/1/2,20:00,55.498
2022/1/2,20:15,53.877
2022/1/2,20:30,51.322
2022/1/2,20:45,48.486
2022/1/2,21:00,45.9
2022/1/2,21:15,44.062
2022/1/2,21:30,42.753
2022/1/2,21:45,41.662
2022/1/2,22:00,40.447
2022/1/2,22:15,38.889
2022/1/2,22:30,36.957
2022/1/2,22:45,34.776
2022/1/2,23:00,32.407
2022/1/2,23:15,29.977
2022/1/2,23:30,27.546
2022/1/2,23:45,25.147
2022/1/3,0:00,23.373
2022/1/3,0:15,21.095
2022/1/3,0:30,18.973
2022/1/3,0:45,17.132
2022/1/3,1:00,15.571
2022/1/3,1:15,14.417
2022/1/3,1:30,13.605
2022/1/3,1:45,13.075
2022/1/3,2:00,12.732
2022/1/3,2:15,12.513
2022/1/3,2:30,12.357
2022/1/3,2:45,12.295
2022/1/3,3:00,12.201
2022/1/3,3:15,12.108
2022/1/3,3:30,12.045
2022/1/3,3:45,11.952
2022/1/3,4:00,11.952
2022/1/3,4:15,11.983
2022/1/3,4:30,12.108
2022/1/3,4:45,12.264
2022/1/3,5:00,12.482
2022/1/3,5:15,12.763
2022/1/3,5:30,13.449
2022/1/3,5:45,14.885
2022/1/3,6:00,17.412
2022/1/3,6:15,21.219
2022/1/3,6:30,25.838
2022/1/3,6:45,30.581
2022/1/3,7:00,34.794
2022/1/3,7:15,37.945
2022/1/3,7:30,40.098
2022/1/3,7:45,41.409
2022/1/3,8:00,42.064
2022/1/3,8:15,42.252
2022/1/3,8:30,42.064
2022/1/3,8:45,41.534
2022/1/3,9:00,40.785
2022/1/3,9:15,39.849
2022/1/3,9:30,38.881
2022/1/3,9:45,37.914
2022/1/3,10:00,37.134
2022/1/3,10:15,36.604
2022/1/3,10:30,36.26
2022/1/3,10:45,36.104
2022/1/3,11:00,36.104
2022/1/3,11:15,36.229
2022/1/3,11:30,36.51
2022/1/3,11:45,37.04
2022/1/3,12:00,37.914
2022/1/3,12:15,39.131
2022/1/3,12:30,40.442
2022/1/3,12:45,41.503
2022/1/3,13:00,42.064
2022/1/3,13:15,41.877
2022/1/3,13:30,41.097
2022/1/3,13:45,39.942
2022/1/3,14:00,38.694
2022/1/3,14:15,37.508
2022/1/3,14:30,36.447
2022/1/3,14:45,35.48
2022/1/3,15:00,34.544
2022/1/3,15:15,33.67
2022/1/3,15:30,32.921
2022/1/3,15:45,32.297
2022/1/3,16:00,31.954
2022/1/3,16:15,31.892
2022/1/3,16:30,32.204
